type,title,release_year,rating,listed_in,movie_duration,series_duration,cluster,sub_cluster
Movie,Dick Johnson Is Dead,2020,PG-13,Documentaries,90.0,0,2,18.0
TV Show,Blood & Water,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",0.0,2,3,1.0
TV Show,Ganglands,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",0.0,1,3,11.0
TV Show,Jailbirds New Orleans,2021,TV-MA,"Docuseries, Reality TV",0.0,1,3,14.0
TV Show,Kota Factory,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,2,3,15.0
TV Show,Midnight Mass,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",0.0,1,3,1.0
Movie,My Little Pony: A New Generation,2021,PG,Children & Family Movies,91.0,0,2,2.0
Movie,Sankofa,1993,TV-MA,"Dramas, Independent Movies, International Movies",125.0,0,1,1.0
TV Show,The Great British Baking Show,2021,TV-14,"British TV Shows, Reality TV",0.0,9,0,1.0
Movie,The Starling,2021,PG-13,"Comedies, Dramas",104.0,0,2,9.0
TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",0.0,1,3,14.0
TV Show,Bangkok Breaking,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",0.0,1,3,11.0
Movie,Je Suis Karl,2021,TV-MA,"Dramas, International Movies",127.0,0,2,7.0
Movie,Confessions of an Invisible Girl,2021,TV-PG,"Children & Family Movies, Comedies",91.0,0,2,2.0
TV Show,Crime Stories: India Detectives,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",0.0,1,3,14.0
TV Show,Dear White People,2021,TV-MA,"TV Comedies, TV Dramas",0.0,4,0,0.0
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,"Documentaries, International Movies",67.0,0,2,17.0
TV Show,Falsa identidad,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",0.0,2,3,16.0
Movie,Intrusion,2021,TV-14,Thrillers,94.0,0,2,0.0
TV Show,Jaguar,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",0.0,1,3,11.0
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",0.0,1,3,6.0
TV Show,Resurrection: Ertugrul,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",0.0,5,0,0.0
Movie,Avvai Shanmughi,1996,TV-PG,"Comedies, International Movies",161.0,0,1,1.0
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,Children & Family Movies,61.0,0,2,16.0
Movie,Jeans,1998,TV-14,"Comedies, International Movies, Romantic Movies",166.0,0,1,1.0
TV Show,Love on the Spectrum,2021,TV-14,"Docuseries, International TV Shows, Reality TV",0.0,2,3,6.0
Movie,Minsara Kanavu,1997,TV-PG,"Comedies, International Movies, Music & Musicals",147.0,0,1,1.0
Movie,Grown Ups,2010,PG-13,Comedies,103.0,0,2,14.0
Movie,Dark Skies,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",97.0,0,2,14.0
Movie,Paranoia,2013,PG-13,Thrillers,106.0,0,2,14.0
Movie,Ankahi Kahaniya,2021,TV-14,"Dramas, Independent Movies, International Movies",111.0,0,2,15.0
TV Show,Chicago Party Aunt,2021,TV-MA,TV Comedies,0.0,1,3,15.0
TV Show,Sex Education,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies",0.0,3,3,16.0
TV Show,Squid Game,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",0.0,1,3,2.0
TV Show,Tayo and Little Wizards,2020,TV-Y7,Kids' TV,0.0,1,3,13.0
Movie,The Father Who Moves Mountains,2021,TV-MA,"Dramas, International Movies, Thrillers",110.0,0,2,7.0
Movie,The Stronghold,2021,TV-MA,"Action & Adventure, Dramas, International Movies",105.0,0,2,7.0
TV Show,Angry Birds,2018,TV-Y7,"Kids' TV, TV Comedies",0.0,1,3,13.0
Movie,Birth of the Dragon,2017,PG-13,"Action & Adventure, Dramas",96.0,0,2,9.0
TV Show,Chhota Bheem,2021,TV-Y7,Kids' TV,0.0,3,3,13.0
TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",0.0,1,3,13.0
Movie,Jaws,1975,PG,"Action & Adventure, Classic Movies, Dramas",124.0,0,1,0.0
Movie,Jaws 2,1978,PG,"Dramas, Horror Movies, Thrillers",116.0,0,1,0.0
Movie,Jaws 3,1983,PG,"Action & Adventure, Horror Movies, Thrillers",98.0,0,1,0.0
